net_name,wirelen_M4,wirelen_M2,wirelen_M3,n_via_v3,n_via_v2,n_via_v1,wirelen_M5,n_via_v4,wirelen_M1,wirelen_M6,wirelen_M7,wirelen_M8,n_via_v5,n_via_v6,n_via_v7,R_gold,R_pred_analytic,ape,bias_signed,R_pred_analytic_cal,ape_cal,bias_signed_cal,q,R_v7,ape_v7
i_tv80_core_add_1284_21_n_427,0.0,4.212,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,101.707109,90.634452,10.886807332219036,-10.886807332219036,106.03631071950487,4.256537976617609,4.256537976617609,Q2,84.5828,16.836885020495465
i_tv80_core_add_1284_21_n_428,0.0,1.1700000000000002,1.08,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,123.796644,104.2740552,15.769885329040093,-15.769885329040093,121.99374380472895,1.4563401211999334,-1.4563401211999334,Q3,106.895,13.652748131039809
i_tv80_core_add_1284_21_n_429,0.0,1.692,0.45,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,113.591528,89.52838,21.183928435226257,-21.183928435226257,104.74227967852562,7.790412258099368,-7.790412258099368,Q2,114.821,1.0823624099853655
i_tv80_core_add_1284_21_n_430,0.0,1.026,0.54,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,95.846015,81.93391360000001,14.515054590428182,-14.515054590428182,95.8572565866528,0.011728799212780064,0.011728799212780064,Q2,88.9536,7.191133611553908
i_tv80_core_add_1284_21_n_431,0.0,1.602,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,67.263485,56.062392,16.65256119274819,-16.65256119274819,65.58928847267356,2.489012466907482,-2.489012466907482,Q1_short,63.5194,5.566296483151305
i_tv80_core_add_1284_21_n_432,0.45,0.738,0.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,125.275148,103.028696,17.75807281425044,-17.75807281425044,120.53675595767278,3.7823879021298143,-3.7823879021298143,Q3,119.21,4.841461452514116
i_tv80_core_add_1284_21_n_433,0.0,2.304,0.63,0.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,131.430602,111.7037712,15.009313280022859,-15.009313280022859,130.68601983166047,0.5665211579412225,-0.5665211579412225,Q3,135.091,2.7850424058774492
i_tv80_core_add_1284_21_n_434,0.0,0.3239999999999999,0.81,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,81.400317,64.7032304,20.512311518393727,-20.512311518393727,75.69849755642714,7.00466491251239,-7.00466491251239,Q2,81.8202,0.5158247725251471
i_tv80_core_add_1284_21_n_435,0.0,1.2960000000000005,1.62,0.0,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,175.76128100000003,151.0583688,14.054808920060164,-14.054808920060164,176.72829456571725,0.5501857748278608,0.5501857748278608,Q3,149.701,14.827088680583767
i_tv80_core_add_1284_21_n_436,0.0,1.2960000000000005,1.7999999999999998,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168.405508,140.44460800000002,16.60331679887809,-16.60331679887809,164.31089684049792,2.4313997850367697,-2.4313997850367697,Q3,140.794,16.395846150115226
