net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
do[1],1.93953,417.988221,329.415521,23.893000000000004,0.6280000000000001,2.186,2,5.0,0.0,0.0,0.0,0.0,361.3811521289553,13.542742600644887,-13.542742600644887,9.703741654891632,449.95185212895535,7.647017194045604,7.647017194045604,Q4
do[0],1.95473,430.7382759999999,329.09707599999996,1.7200000000000002,0.6280000000000001,2.888,2,2.0,20.935000000000002,0.6020000000000001,1.0,3.0,355.95148042213424,17.36246805655732,-17.36246805655732,8.160025226761444,457.59068042213426,6.2340418575047485,6.2340418575047485,Q4
reset_n,31.1754,5308.425093000005,3221.080293000003,103.36699999999999,19.250000000000007,47.62699999999997,67,64.0,22.43,52.73199999999999,31.0,5.0,3260.9394935218797,38.570490561844,-38.570490561844,1.237448212902296,5345.934193521879,0.7065956449368644,0.7065956449368644,Q4
clk,4.4574,806.7361869999999,629.5907869999999,4.816,1.166,0.8860000000000001,4,5.0,0.0,44.10999999999999,5.0,0.0,691.1895703056715,14.322726382711325,-14.322726382711325,9.783939755406816,868.3309703056715,7.63505893230393,7.63505893230393,Q4
wait_n,2.58681,573.5111919999998,434.117892,2.1185,0.8520000000000001,2.1749999999999994,3,3.0,26.060000000000002,3.768,3.0,2.0,465.8764942440335,18.767671713713717,-18.767671713713717,7.315663055885637,605.2667942440335,5.537050137294208,5.537050137294208,Q4
int_n,1.11589,283.18252999999993,258.49893,20.435,0.224,0.525,1,1.0,0.0,0.0,0.0,0.0,287.9843979522388,1.695679444716758,1.695679444716758,11.406417795322723,312.66699795223883,10.4118244696235,10.4118244696235,Q4
nmi_n,1.55522,360.109761,297.674061,20.953,0.448,1.832,2,1.0,0.0,1.09,2.0,0.0,329.5750850244775,8.479269179132991,-8.479269179132991,10.716763132571877,392.0087850244775,8.8581392339647,8.8581392339647,Q4
busrq_n,1.1796,311.23688000000016,260.41628000000003,0.16,0.224,0.554,1,1.0,20.255,0.16,1.0,1.0,284.4194955459116,8.616390337189001,-8.616390337189001,9.217248455400556,335.2390955459116,7.711880271358403,7.711880271358403,Q4
di[7],3.78116,656.711411,539.7186110000001,15.563000000000002,0.718,1.3060000000000003,2,2.0,19.580000000000002,6.394,3.0,2.0,585.6244727640336,10.824684487775162,-10.824684487775162,8.505517658355027,700.3321727640337,6.642303001498121,6.642303001498121,Q4
di[6],5.7622,945.1137989999999,804.2670989999998,24.761,0.538,0.354,2,2.0,24.669999999999998,14.068,3.0,4.0,869.1598572485065,8.036486382048201,-8.036486382048201,8.068558110756022,1010.0045572485066,6.8659200952484145,6.8659200952484145,Q4
di[5],3.99242,652.0916619999998,537.3819619999999,19.833,0.6279999999999999,1.0610000000000002,2,2.0,12.74,8.194,3.0,2.0,572.9128220673501,12.142286820506794,-12.142286820506794,6.611844568640398,687.6205220673501,5.448445692187099,5.448445692187099,Q4
di[4],4.21311,715.9621089999997,601.252409,8.527,0.718,1.254,2,2.0,27.140000000000004,10.624,3.0,2.0,647.5815199573669,9.550867033751476,-9.550867033751476,7.705434566893685,762.2892199573669,6.47060932066269,6.47060932066269,Q4
di[3],4.48678,695.967307,568.189107,15.516000000000002,0.718,0.6600000000000001,2,2.0,18.37,9.072000000000001,3.0,3.0,596.7963227852064,14.249373960146901,-14.249373960146901,5.034805390101633,724.5725227852065,4.1101378610024994,4.1101378610024994,Q4
di[2],5.1503,888.7512129999993,747.9045129999996,22.262999999999998,0.6279999999999999,0.426,2,2.0,27.37,10.226,3.0,4.0,820.6362362840786,7.6641219409419605,-7.6641219409419605,9.724733842337303,961.4809362840787,8.183361352450767,8.183361352450767,Q4
di[1],5.41395,913.9475279999997,773.1008279999999,2.508,0.628,0.519,2,2.0,47.934999999999995,11.278,2.0,5.0,841.3130894154674,7.947331368517287,-7.947331368517287,8.823203771742378,982.1577894154673,7.463257936123835,7.463257936123835,Q4
di[0],4.54413,704.048328,576.2701280000001,16.323,0.718,1.2900000000000003,2,2.0,17.650000000000002,9.612,3.0,3.0,613.9002205763176,12.804249912753491,-12.804249912753491,6.529939822998676,741.6764205763177,5.344532623663546,5.344532623663546,Q4
CTS_1,23.5625,5597.332681999995,2542.343582000002,97.05400000000003,33.43200000000001,25.051999999999925,101,100.0,0.0,42.589999999999996,44.0,0.0,2586.837825031641,53.7844546322851,-53.7844546322851,1.7501270617654507,5641.725925031641,0.7931142484063332,0.7931142484063332,Q4
